food,Dietary Fiber,Cholesterol
cocktail sauce,0.3,0
worcestershire sauce,0,0
barbecue sauce,0.2,0
tomato sauce with onions,4.4,0
brown gravy dry,0.1,0.2
blue cheese dressing light,0,1.6
spanish tomato sauce,3.4,0
oyster sauce,0.024,0
cheese sauce,0.071,5.7
hoisin sauce,0.4,0.5
pickle relish,0.2,0
tomato sauce with herbs cheese,5.4,7.3
french dressing,0,0
mayonnaise hellmanns,0,0
canadian maple syrup,0,0
maple syrup,0,0
barbecue sauce bulls eye,0.2,0
ranch dressing,0,3.9
tomato ketchup mp,0,0
mayonnaise light,0,2.4
mayonnaise dressing,0,0
malt syrup,0,0
gravy dry,0,1
cranberry orange relish,0,0
caesar dressing,0.036,5.7
italian dressing,0,0
brown gravy instant,0.2,0.8
roquefort cheese dressing,0,0.2
blue cheese dressing,0.045,4.7
duck sauce,0.2,0
au jus,0,0
corn syrup dark,0,0
buttermilk dressing light,0.2,2.4
cider vinegar,0,0
tartar sauce,0.078,1.1
pepper hot sauce,0.071,0
tomato chili sauce,0.4,0
turkey gravy dry,0,1
salsa sauce,0.3,0
steak sauce,0.3,0
molasses,0,0
italian dressing fat free,0.077,0.3
plum sauce,0.1,0
chow mein stir fry master foods,0,0
beef gravy instant,0.3,0.7
horseradish,0.2,0
grenadine,0,0
tabasco sauce,0.013,0
sweet sour sauce,0.065,0
salsa verde,0.3,0
miso,1.1,0
sprouted soybean cooked,0.8,0
soy flour roasted,8.2,0
soy flour low fat,14.1,0
green soybean cooked,3.8,0
azumaya tofu vitasoy,2.4,0
soy proteins isolate,1.6,0
tofu yogurt,0.5,0
bacon meatless,3.7,0
meatless chicken fried,5.6,0
soymilk,1,0
soy vermicelli,5.5,0
tofu fried,0.5,0
tempeh,0,0
koyadofu,1.2,0
meatless meatloaf,2.6,0
soya vanille joghurt alpro,0,0
soybean curd cheese,0,0
soy sauce,0.1,0
soybean dry roasted,7.5,0
soybean oil,0,0
meatless chicken,6,0
soybean cooked,10.3,0
soymilk nonfat,0.5,0
soy flour,0.5,0
soybean lecithin oil,0,0
tofu raw,0.7,0
soy chips,1,0
green soybean raw,10.8,0
soy proteins concentrate,1.6,0
soybean margarine,0,0
chocolate soymilk nonfat,0.5,0
okara,0,0
meatless meatballs,6.6,0
vanilla soymilk,1.5,0
soy meal raw,0,0
soymilk low fat,1.9,0
sprouted soybean raw,0.8,0
soybean raw,17.3,0
tempeh cooked,0,0
vanilla soymilk light,1.5,0
chocolate soymilk,1,0
soy oil,0,0
natto,4.3,0
chrysanthemum raw,1.5,0
gourd cooked,5.2,0
cauliflower raw,0.3,0
red cabbage raw,3.6,0
broccoli raab raw,1.1,0
napa cabbage cooked,0,0
kelp,0.018,0
shallots raw,0.8,0
bamboo shoots raw,4,0
jute cooked,1.7,0
red lettuce,0.3,0
broccoli cooked,9.2,0
romanesco raw,2,0
eggplant raw,13.7,0
leeks raw,1.6,0
lemongrass citronella,0,0
pumpkin cooked,2.7,0
celery cooked,0.6,0
serrano pepper,0.2,0
nopales raw,1.9,0
sweet potato leaves cooked,1.2,0
eggplant cooked,2.5,0
asparagus cooked,0.3,0
rutabaga cooked,4.3,0
parsnips raw,8.3,0
sour pickles,1.9,0
turnip greens cooked,5,0
jerusalem artichokes,2.4,0
collard raw,1.4,0
chrysanthemum cooked,2.3,0
oriental radish dried,27.7,0
tomatillos,2.5,0
taro shoots raw,0,0
acorn squash raw,6.5,0
leeks dried,0.3,0
cabbage raw,7,0
sweet red peppers cooked,0.9,0
sweet red peppers raw,3.1,0
cucumber peeled,0.9,0
purslane raw,0,0
peas onions cooked,4,0
tomato cooked,0.9,0
taro shoots cooked,0,0
scots kale raw,1.1,0
artichoke raw,6.9,0
navy bean sprouts raw,0,0
sweet pickles,1.6,0
oriental radish cooked,2.4,0
sweet potato leaves raw,1.9,0
irishmoss,0.082,0
drumstick leaves cooked,0.8,0
winter squash raw,1.7,0
pumpkin raw,0.6,0
chicory greens,1.2,0
spinach cooked,4.3,0
radish pickled,3.3,0
sweet onion,3,0
salsify cooked,4.2,0
radish seeds sprouted,0,0
turnips raw,3.3,0
burdock root raw,3.9,0
red cabbage cooked,4.4,0
jute raw,0,0
hot chile pepper dried,0.1,0
salsify raw,4.4,0
crookneck squash raw,1.3,0
indian squash cooked,3.5,0
poi,1,0
sesbania flower cooked,0,0
acorn squash cooked,9,0
cauliflower cooked,2.9,0
crookneck squash cooked,2,0
laver seaweed,0.09,0
mountain yam cooked,0,0
pumpkin flowers raw,0,0
mustard greens raw,1.8,0
arrowhead,0,0
japanese cabbage,4.7,0
mung bean sprouts cooked,1,0
scallop squash cooked,3.4,0
pumpkin leaves cooked,1.9,0
hungarian pepper,0.3,0
sweet potato baked,3.8,0
chinese cabbage pe tsai raw,0.9,0
taro raw,4.3,0
yam bean jicama,6.4,0
olives,0.1,0
mustard greens cooked,2.8,0
pumpkin flowers cooked,1.2,0
tree fern cooked,5.3,0
yellow corn raw,12.1,0
endive,1.6,0
wakame,0.4,0
tahitian taro raw,0,0
broccoli raw,2.4,0
sweet green peppers raw,2.5,0
chinese cabbage pak choi cooked,1.7,0
agar,0.027,0
watercress,0.2,0
beet greens cooked,4.2,0
winter squash cooked,5.7,0
new zealand spinach raw,0.8,0
okra,0.4,0
yautia tannier,2,0
mustard spinach cooked,3.6,0
rhubarb cooked,4.8,0
beets raw,3.8,0
drumstick pods raw,3.2,0
baby zucchini,0.1,0
onion raw,0.7,0
romanesco cooked,4,0
butternut squash raw,4,0
amaranth leaves,0,0
turnip greens raw,1.8,0
spaghetti squash raw,1.5,0
seaweed dry,7.3,6.6
yam cooked,5.3,0
corn dried,5.8,0
cucumber,0.8,0
arrowroot,1.6,0
cardoon raw,2.8,0
bamboo shoots cooked,1.2,0
summer squash raw,2.9,0
sweet potato raw,3.9,0
green tomato,2,0
beet greens raw,1.4,0
savoy cabbage cooked,4.8,0
witloof chicory,1.6,0
turnips cooked,3.1,0
dried tomatoes,0.2,0
radicchio,0.6,0
mixed vegetables cooked,8,0
yellow tomato,1.5,0
cardoon cooked,2,0
spinach raw,0.7,0
kale raw,0.9,0
drumstick pods cooked,5,0
kohlrabi raw,9.5,0
lentil sprouts,0,0
carrots raw,1.7,0
red chili peppers,0.7,0
fennel,7.3,0
sweet corn white,2,0
celeriac raw,2.8,0
hubbard squash raw,4.5,0
brussels sprouts cooked,0.5,0
carrots cooked,1.4,0
lambs quarters raw,0.046,0
lotus root cooked,0.3,0
split peas raw,50.2,0
scots kale cooked,0,0
corn cooked,2.5,0
radish raw,0.002,0
stinging nettles,6.1,0
baby carrots,0.4,0
sweet yellow peppers,1.7,0
taro leaves raw,1,0
corn raw,2.9,0
roselle,0,0
drumstick leaves raw,0.4,0
scallop squash raw,1.6,0
chicory roots,1.4,0
brussels sprouts raw,0.7,0
kale cooked,4.7,0
pupusas con frijoles,7.3,0
mustard cabbage,4,0
gourd raw,1,0
butternut squash cooked,6.4,0
burdock root cooked,3,0
cassava,3.7,0
peas carrots cooked,5,0
romaine lettuce,1,0
yam raw,6.2,0
chowchow pickles,3.7,0
prairie turnips raw,1,0
savoy cabbage raw,2.2,0
celery raw,0.6,0
celeriac cooked,0,0
mustard spinach raw,4.2,0
zucchini raw,2.6,0
okra cooked,4,0
white icicle radish,1.4,0
orange tomato,1,0
pumpkin leaves raw,0,0
spaghetti squash cooked,2.2,0
white corn cooked,2.8,0
artichoke cooked,10.3,0
avocado,18.1,0
string beans wellsley farms,0.087,1
lambs quarters cooked,3.8,0
peas cooked,8.8,0
beets cooked,1,0
shallots dried,0.1,0
green lettuce,2,0
kohlrabi cooked,1.8,0
kanpyo dried,5.3,0
prairie turnips boiled,1,0
broccoli raab cooked,2.4,0
summer squash cooked,2.9,0
taro cooked,6.7,0
spring onion scallions,0.5,0
hubbard squash cooked,5.5,0
jalapeno pepper,0.4,0
new zealand spinach cooked,2.5,0
sesbania flower raw,0,0
spirulina dried,0.3,0
chinese cabbage pe tsai cooked,2,0
zucchini cooked,1.8,0
green olives pickled,0.057,0
lotus root raw,5.6,0
grape leaves,1.5,0
dill pickled cucumber,1.6,0
skunk cabbage,1.2,0
banana pepper,1.1,0
oriental radish raw,5.4,0
purslane cooked,0,0
rhubarb raw,0.9,0
swamp cabbage,1.9,0
mung bean sprouts raw,0.4,0
onion cooked,0.2,0
swiss chard raw,0.6,0
peas raw,7.4,0
cabbage cooked,2.9,0
taro leaves cooked,2.9,0
leeks cooked,1.2,0
split peas cooked,16.3,0
sweet corn yellow,1.5,0
asparagus raw,0.3,0
collard cooked,7.6,0
swiss chard cooked,3.7,0
nopales cooked,3,0
tahitian taro cooked,0,0
chinese cabbage pak choi raw,0.7,0
green chili pepper,0.7,0
mountain yam raw,3.4,0
parsnips cooked,6.4,0
tomato stewed,2.1,0
sweet green peppers cooked,0.9,0
white corn raw,4.5,0
rutabaga raw,17.8,0
jalapeno peppers canned,3.5,0
pumpkin canned,7.1,0
peas onions canned,2.8,0
sweet mashed potato canned,4.3,0
hominy canned,4.1,0
tomato puree canned,4.8,0
dried tomatoes canned in oil,0.2,0
mixed vegetables canned,9.3,0
straw mushrooms canned,0.1,0
capers canned,0.3,0
red peppers canned,0.9,0
carrots canned,8.2,0
tomatoes in tomato juice canned,2.4,0
asparagus canned,4.1,0
sweet red peppers canned,1.7,0
onions canned,0.8,0
turnip greens canned,1.9,0
hearts of palm,0.8,0
spinach canned,3.7,0
sweet potato canned,16,0
corn canned,1.4,0
peas carrots canned,8.4,0
crookneck squash canned,2.9,0
tomatoes canned,4.6,0
pimento canned,3.6,0
sweet green peppers canned,1.7,0
peas canned,0,0
chili peppers canned,2.4,0
green peppers canned,0.9,0
grape leaves canned,2.8,0
sauerkraut canned,4.1,0
beets canned,3,0
stewed tomatoes canned,2.6,0
tomato paste canned,10.7,0
bacon ranch salad mcdonalds,3.2,70.2
caesar salad with grilled chicken mcdonalds,3.3,71
caesar salad mcdonalds,3.4,10.7
vegetable salad,0,0
vegetable salad with chicken,0,47.9
potato salad,3.3,170
taco salad taco bell,16,101.3
iceberg lettuce,0.7,0
cornsalad,0,0
potato salad with egg,3.3,42.5
side salad mcdonalds,1.4,0
caesar salad with crispy chicken mcdonalds,3.4,55.6
grape apple salad with walnuts,3.6,1.6
vegetable salad with cheese egg,0,65.1
celtuce,0.1,0
arugula,0.3,0
vegetable salad with shrimp,0,119.5
coleslaw,3.6,7.6
shiitake mushrooms cooked,0.4,0
shiitake mushrooms raw,0.5,0
crimini mushrooms,0.064,0
mushrooms raw,0.7,0
portabella mushrooms grilled,2.7,0
maitake mushrooms,0.041,0
shiitake mushrooms dried,0.4,0
chanterelle mushrooms,0.2,0
cloud ear fungus dried,19.6,0
mushrooms cooked,3.4,0
pepeao dried,0,0
truffles,0.3,6.4
jews ear,0,0
enoki mushrooms,0.089,0
morel mushrooms,0.4,0
portabella mushrooms raw,1.1,0
oyster mushroom,0.3,0
